sent1,sent2,label,strategy
🧠👨‍⚕️🩺,internal sense,0,6
📲🕹️👩‍💻,internal sense,0,6
🦿👩‍🔧,internal sense,0,6
🧠👀🫀,internal mechanism,0,6
🧠👨‍⚕️🩺,internal mechanism,0,6
🫀🫁,internal mechanism,0,6
🫀🧠🫁,internal mechanism,0,6
🧠👀🫀,internal mechanism,0,6
🧘‍♀️,internal mechanism,0,6
👨‍💼👈🧠🫀🫁,internal mechanism,0,6
👉👀👈,internal mechanism,0,6
☀️🙋🏻‍♀️,dry paint,0,6
🏜️🥳,dry paint,0,6
♨️🌇,dry paint,0,6
🏜️🗣️,dry paint,0,6
♨️🌎🌡️,dry paint,0,6
🚱🏜️🌵,dry paint,0,6
🏝️🏙️☀️,dry paint,0,6
🌪️🏝️,dry paint,0,6
🌵🥵🥵🥵🥵,dry land,0,6
☀️🙋🏻‍♀️,dry land,0,6
😩🙄✍🏻📝,dry land,0,6
🏜️🥳,dry land,0,6
🌵🥵🥵🥵🥵,dry land,0,6
🙋😑😑😑,dry land,0,6
♨️🌎🌡️,dry land,0,6
♨️🌎🌡️,dry land,0,6
❌💦🎨,dry critique,0,6
♨️🌇,dry critique,0,6
❌💦🎨,dry critique,0,6
🌵🥵🥵🥵🥵,dry critique,0,6
👋🙄,dry critique,0,6
🖌️🙅💦,dry critique,0,6
🖌️🙅💦,dry critique,0,6
🌪️🎨,dry critique,0,6
🖌️🙅💦,dry greeting,0,6
🥵🏜️🚫🆒,dry greeting,0,6
⛱️🏝️,dry greeting,0,6
☀️☀️☀️🥵,dry greeting,0,6
😩🙄✍🏻📝,dry greeting,0,6
🌵🌡️,dry greeting,0,6
🏜️,dry greeting,0,6
🖌️🙅💦,dry greeting,0,6
☀️🤬,dry climate,0,6
🏜️🏝️,dry climate,0,6
😩🙄✍🏻📝,dry climate,0,6
🙎‍♂️🗣️💬,dry climate,0,6
🏜️🥳,dry climate,0,6
😩🙄✍🏻📝,dry climate,0,6
🌬️💅,dry climate,0,6
☀️🎨,dry climate,0,6
✈️🏝️,foreign accent,0,6
❓❓🌆,foreign accent,0,6
✈️🏝️,foreign accent,0,6
🇻🇪🇲🇪🇲🇲🇺🇳,foreign accent,0,6
✈️🗺️,foreign accent,0,6
👽🏙️,foreign accent,0,6
👽🏙️,foreign accent,0,6
👽🏙️,foreign accent,0,6
🔊🤔❓❓,foreign nation,0,6
✈️🗣️👂,foreign nation,0,6
👽🏙️,foreign nation,0,6
🇨🇿🇬🇪🇬🇭,foreign nation,0,6
🇨🇿🇬🇪🇬🇭,foreign nation,0,6
🔊🤔❓❓,foreign nation,0,6
🔊🤔❓❓,foreign nation,0,6
🇨🇿🇬🇪🇬🇭,foreign nation,0,6
🔊🤔❓❓,foreign city,0,6
✈️🗣️👂,foreign city,0,6
🧳🇮🇴🇧🇦🇬🇾🇬🇶🎌🇬🇪,foreign city,0,6
✈️🗣️👂,foreign city,0,6
🌏🇬🇧,foreign city,0,6
🔊🤔❓❓,foreign city,0,6
🇫🇷🇯🇵👩‍🦱,foreign city,0,6
🗣️🤷‍♀️,foreign city,0,6
❌🌶️👅,delicate china,0,6
👅🤔,delicate china,0,6
❌💪🏻🦋,delicate china,0,6
❌💪🏻🦋,delicate china,0,6
⚠️📦🗣️💬,delicate china,0,6
⚠️📦😋,delicate china,0,6
⚠️📦😋,delicate china,0,6
❌💪🏻🦋,delicate china,0,6
😋👍,delicate wing,0,6
🧘🕊️☮️🗣️,delicate wing,0,6
⚠️📦🗣️💬,delicate wing,0,6
😋🤔,delicate wing,0,6
🧘🕊️☮️🗣️,delicate wing,0,6
🫖🍽️🇨🇳,delicate wing,0,6
🧘🕊️☮️🗣️,delicate wing,0,6
🗣️😃,delicate wing,0,6
❗🇨🇳,delicate negotiation,0,6
💞🍜,delicate negotiation,0,6
❌💪🏻🇨🇳☕,delicate negotiation,0,6
❌🌶️👅,delicate negotiation,0,6
🌬️🪡🚣,delicate negotiation,0,6
❌💪🏻🇨🇳☕,delicate negotiation,0,6
👅🤔,delicate negotiation,0,6
🍽️🙌,delicate negotiation,0,6
🛑🐝,delicate flavor,0,6
🧘🕊️☮️🗣️,delicate flavor,0,6
🇨🇳😁👍,delicate flavor,0,6
🤔👥,delicate flavor,0,6
🤔🕊️,delicate flavor,0,6
🗣️😃,delicate flavor,0,6
⚠️📦🐣,delicate flavor,0,6
🐣💸,delicate flavor,0,6
👦🗣️👩🤔👍,sound explanation,0,6
🤔,sound explanation,0,6
👍🏻🎙️🗣️,sound explanation,0,6
👍⏩,sound explanation,0,6
👍✍️📑,sound explanation,0,6
🔊🚶,sound explanation,0,6
👦🗣️👩🤔👍,sound explanation,0,6
👦🔍📝,sound explanation,0,6
👦🔍📝,sound explanation,0,6
😵‍💫,sound approach,0,6
🔈🗑️🚮,sound approach,0,6
👍🧏‍♀️,sound approach,0,6
👂🗑️,sound approach,0,6
👍🗣️,sound approach,0,6
🧑‍🏫🗣️,sound approach,0,6
🙋🧏‍♀️👍,sound approach,0,6
🔈🗑️🚮,sound approach,0,6
🔊🗣️,sound approach,0,6
👂💬,sound thrashing,0,6
👂📋,sound thrashing,0,6
👍🏻🎙️🗣️,sound thrashing,0,6
🧠🔊🚶,sound thrashing,0,6
👂📋,sound thrashing,0,6
🗣️🧏‍♂️💯,sound thrashing,0,6
🙋🧏‍♀️👍,sound thrashing,0,6
👂📋,sound thrashing,0,6
🧠🔊🚶,sound thrashing,0,6
😵‍💫,sound advice,0,6
🔈🗑️🚮,sound advice,0,6
🔈🗑️🚮,sound advice,0,6
🔊🥊,sound advice,0,6
🔈🗑️🚮,sound advice,0,6
👂📋,sound advice,0,6
🤔🧠🔊🗣️☺️👍,sound advice,0,6
🤔🧠🗣️🙂🆗,sound advice,0,6
🗣️🧏‍♀️,sound advice,0,6
