EN,EM,Description,Composition strategy,Attribute,positional sensitivity
low cloud,🔻☁️,"[':red_triangle_pointed_down:', ':cloud:']",Direct,HEIGHT,4
low ceiling,↘️🏠,"[':down-right_arrow:', ':house:']",Direct,HEIGHT,4
low ceiling,👇🏠,"[':backhand_index_pointing_down:', ':house:']",Direct,HEIGHT,4
low ceiling,📉📉,"[':chart_decreasing:', ':chart_decreasing:']",Reduplication,HEIGHT,1
low ceiling,↘️ 🏘️,"[':down-right_arrow:', ':houses:']",Direct,HEIGHT,4
low ceiling,⬇️🔝,"[':down_arrow:', ':TOP_arrow:']",Direct,HEIGHT,5
low ceiling,🏦,[':bank:'],Single,HEIGHT,1
low ceiling,🏠💥,"[':house:', ':collision:']",Direct,HEIGHT,3
low ceiling,🔻🏢,"[':red_triangle_pointed_down:', ':office_building:']",Direct,HEIGHT,4
low bow,↘️🙇‍♀️,"[':down-right_arrow:', ':woman_bowing:']",Direct,HEIGHT,4
low bow,🎀👇,"[':ribbon:', ':backhand_index_pointing_down:']",Metaphorical,HEIGHT,4
low bow,🙇‍♀️🙇🙇‍♂️,"[':woman_bowing:', ':person_bowing:', ':man_bowing:']",Semantic list,HEIGHT,1
low bow,↘️🙇🙇‍♀️🙇‍♂️,"[':down-right_arrow:', ':person_bowing:', ':woman_bowing:', ':man_bowing:']",Direct,HEIGHT,4
low bow,⬇️🙇‍♂️,"[':down_arrow:', ':man_bowing:']",Direct,HEIGHT,4
low bow,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT,1
low bow,🙇‍♀️🙇‍♂️,"[':woman_bowing:', ':man_bowing:']",Semantic list,HEIGHT,1
low bow,🔻🙇🏻‍♀️,"[':red_triangle_pointed_down:', ':woman_bowing_light_skin_tone:']",Direct,HEIGHT,4
low reservoir,↘️🏞️,"[':down-right_arrow:', ':national_park:']",Direct,DEGREE,4
low reservoir,🏞️⬇️,"[':national_park:', ':down_arrow:']",Direct,DEGREE,4
low reservoir,💦🚫🚫,"[':sweat_droplets:', ':prohibited:', ':prohibited:']",Metaphorical,DEGREE,3
low reservoir,↘️ 🗻,"[':down-right_arrow:', ':mount_fuji:']",Direct,DEGREE,4
low reservoir,⬇️🚣‍♀️🌊,"[':down_arrow:', ':woman_rowing_boat:', ':water_wave:']",Direct,DEGREE,4
low reservoir,🏞️🐊,"[':national_park:', ':crocodile:']",Metaphorical,DEGREE,3
low reservoir,🌛↘️,"[':first_quarter_moon_face:', ':down-right_arrow:']",Metaphorical,DEGREE,4
low reservoir,🔻🏞,"[':red_triangle_pointed_down:', ':national_park:']",Direct,DEGREE,4
low price,↘️🏷️,"[':down-right_arrow:', ':label:']",Direct,DEGREE,4
low price,📉💰💰,"[':chart_decreasing:', ':money_bag:', ':money_bag:']",Direct,DEGREE,3
low price,🤑🤑🤑🧧,"[':money-mouth_face:', ':money-mouth_face:', ':money-mouth_face:', ':red_envelope:']",Metaphorical,DEGREE,2
low price,↘️💲💸,"[':down-right_arrow:', ':heavy_dollar_sign:', ':money_with_wings:']",Direct,DEGREE,4
low price,⬇️🏷💲,"[':down_arrow:', ':label:', ':heavy_dollar_sign:']",Direct,DEGREE,4
low price,💲🤑🤑,"[':heavy_dollar_sign:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,DEGREE,2
low price,⬇️💲,"[':down_arrow:', ':heavy_dollar_sign:']",Direct,DEGREE,4
low price,🔻🏷,"[':red_triangle_pointed_down:', ':label:']",Direct,DEGREE,4
low furniture,↘️🛋️,"[':down-right_arrow:', ':couch_and_lamp:']",Direct,HEIGHT,4
low furniture,🔻🪑🛋️,"[':red_triangle_pointed_down:', ':chair:', ':couch_and_lamp:']",Direct,HEIGHT,3
low furniture,🪑🪑⬇️,"[':chair:', ':chair:', ':down_arrow:']",Direct,HEIGHT,3
low furniture,↘️💺🛏️,"[':down-right_arrow:', ':seat:', ':bed:']",Direct,HEIGHT,3
low furniture,⬇️🪑,"[':down_arrow:', ':chair:']",Direct,HEIGHT,4
low furniture,🛋️,[':couch_and_lamp:'],Single,HEIGHT,1
low furniture,❌🛏️,"[':cross_mark:', ':bed:']",Direct,HEIGHT,3
low furniture,🔻🛋,"[':red_triangle_pointed_down:', ':couch_and_lamp:']",Direct,HEIGHT,4
critical illness,😷🤒🤕,"[':face_with_medical_mask:', ':face_with_thermometer:', ':face_with_head-bandage:']",Semantic list,CRISIS,1
critical illness,☠️🤧,"[':skull_and_crossbones:', ':sneezing_face:']",Direct,CRISIS,3
critical illness,🤕🧑‍⚕️💊😷🦠🪦,"[':face_with_head-bandage:', ':health_worker:', ':pill:', ':face_with_medical_mask:', ':microbe:', ':headstone:']",Metaphorical,CRISIS,2
critical illness,🤮👨‍⚕️,"[':face_vomiting:', ':man_health_worker:']",Metaphorical,CRISIS,3
critical illness,🤒🚨,"[':face_with_thermometer:', ':police_car_light:']",Direct,CRISIS,3
critical illness,🤒‼️,"[':face_with_thermometer:', ':double_exclamation_mark:']",Direct,CRISIS,3
critical illness,🤢🤢,"[':nauseated_face:', ':nauseated_face:']",Reduplication,CRISIS,1
critical illness,🤮🤒🌡️🌡️,"[':face_vomiting:', ':face_with_thermometer:', ':thermometer:', ':thermometer:']",Metaphorical,CRISIS,2
critical mass,⚖️⚠️⚠️,"[':balance_scale:', ':warning:', ':warning:']",Direct,CRITICALITY,2
critical mass,❗⚖️🐘,"[':red_exclamation_mark:', ':balance_scale:', ':elephant:']",Direct,CRITICALITY,4
critical mass,⚖️👩‍⚖️👨‍⚖️,"[':balance_scale:', ':woman_judge:', ':man_judge:']",Metaphorical,CRITICALITY,2
critical mass,‼️⚖️,"[':double_exclamation_mark:', ':balance_scale:']",Direct,CRITICALITY,3
critical mass,🚨🏋️‍♀️,"[':police_car_light:', ':woman_lifting_weights:']",Metaphorical,CRITICALITY,3
critical mass,🤏⚛️❗,"[':pinching_hand:', ':atom_symbol:', ':red_exclamation_mark:']",Direct,CRITICALITY,4
critical mass,💹💹,"[':chart_increasing_with_yen:', ':chart_increasing_with_yen:']",Reduplication,CRITICALITY,1
critical mass,⚖️❗❗❗,"[':balance_scale:', ':red_exclamation_mark:', ':red_exclamation_mark:', ':red_exclamation_mark:']",Direct,CRITICALITY,2
critical stage,🗝️📈,"[':old_key:', ':chart_increasing:']",Direct,CRISIS,3
critical stage,✔️👍❌☠️,"[':check_mark:', ':thumbs_up:', ':cross_mark:', ':skull_and_crossbones:']",Metaphorical,CRISIS,4
critical stage,🏥,[':hospital:'],Single,CRISIS,1
critical stage,‼️👣,"[':double_exclamation_mark:', ':footprints:']",Metaphorical,CRISIS,3
critical stage,🚨🤞,"[':police_car_light:', ':crossed_fingers:']",Metaphorical,CRISIS,3
critical stage,📈❗,"[':chart_increasing:', ':red_exclamation_mark:']",Direct,CRISIS,3
critical stage,😰😰,"[':anxious_face_with_sweat:', ':anxious_face_with_sweat:']",Reduplication,CRISIS,1
critical stage,📈📉❗❗,"[':chart_increasing:', ':chart_decreasing:', ':red_exclamation_mark:', ':red_exclamation_mark:']",Direct,CRISIS,4
critical temperature,🌡️⚠️,"[':thermometer:', ':warning:']",Direct,CRITICALITY,3
critical temperature,❗🌡️,"[':red_exclamation_mark:', ':thermometer:']",Direct,CRITICALITY,3
critical temperature,🤒 🏥,"[':face_with_thermometer:', ':hospital:']",Metaphorical,CRITICALITY,3
critical temperature,♨️🤕,"[':hot_springs:', ':face_with_head-bandage:']",Metaphorical,CRITICALITY,3
critical temperature,🚨🌡,"[':police_car_light:', ':thermometer:']",Direct,CRITICALITY,3
critical temperature,🌡️❗,"[':thermometer:', ':red_exclamation_mark:']",Direct,CRITICALITY,3
critical temperature,🌡️😯,"[':thermometer:', ':hushed_face:']",Metaphorical,CRITICALITY,3
critical temperature,❗❗🌡️🌡️🌡️,"[':red_exclamation_mark:', ':red_exclamation_mark:', ':thermometer:', ':thermometer:', ':thermometer:']",Direct,CRITICALITY,2
critical shortage,❌❓⚠️⚠️,"[':cross_mark:', ':red_question_mark:', ':warning:', ':warning:']",Metaphorical,CRISIS,3
critical shortage,❌🍞☠️,"[':cross_mark:', ':bread:', ':skull_and_crossbones:']",Direct,CRISIS,4
critical shortage,❌🍱 ❌ 🍼,"[':cross_mark:', ':bento_box:', ':cross_mark:', ':baby_bottle:']",Metaphorical,CRISIS,4
critical shortage,‼️🦐🦑🍞🥝,"[':double_exclamation_mark:', ':shrimp:', ':squid:', ':bread:', ':kiwi_fruit:']",Metaphorical,CRISIS,2
critical shortage,🚨📉,"[':police_car_light:', ':chart_decreasing:']",Direct,CRISIS,3
critical shortage,❗🥑🍎🧀🍚❗😥,"[':red_exclamation_mark:', ':avocado:', ':red_apple:', ':cheese_wedge:', ':cooked_rice:', ':red_exclamation_mark:', ':sad_but_relieved_face:']",Metaphorical,CRISIS,2
critical shortage,🤏🍞,"[':pinching_hand:', ':bread:']",Metaphorical,CRISIS,2
critical shortage,⌛❌🧺,"[':hourglass_done:', ':cross_mark:', ':basket:']",Metaphorical,CRISIS,4
critical element,🗝️⚠️⚠️,"[':old_key:', ':warning:', ':warning:']",Metaphorical,DISPENSABILITY,2
critical element,🔥💧❄️⚡🐉,"[':fire:', ':droplet:', ':snowflake:', ':high_voltage:', ':dragon:']",Metaphorical,DISPENSABILITY,2
critical element,❗ 🚶,"[':red_exclamation_mark:', ':person_walking:']",Direct,DISPENSABILITY,3
critical element,‼️⛑️,"[':double_exclamation_mark:', ':rescue_worker’s_helmet:']",Direct,DISPENSABILITY,3
critical element,🚨🚨,"[':police_car_light:', ':police_car_light:']",Reduplication,DISPENSABILITY,1
critical element,⚛️🧫‼️,"[':atom_symbol:', ':petri_dish:', ':double_exclamation_mark:']",Direct,DISPENSABILITY,3
critical element,🉐🆘,"[':Japanese_bargain_button:', ':SOS_button:']",Semantic list,DISPENSABILITY,2
critical element,👩‍🔬❗,"[':woman_scientist:', ':red_exclamation_mark:']",Metaphorical,DISPENSABILITY,3
immediate reply,💨💨🔁💬,"[':dashing_away:', ':dashing_away:', ':repeat_button:', ':speech_balloon:']",Metaphorical,SPEED,3
immediate reply,❗📤,"[':red_exclamation_mark:', ':outbox_tray:']",Direct,SPEED,3
immediate reply,⏩📞📱,"[':fast-forward_button:', ':telephone_receiver:', ':mobile_phone:']",Metaphorical,SPEED,3
immediate reply,🔜📨,"[':SOON_arrow:', ':incoming_envelope:']",Direct,SPEED,4
immediate reply,🚨📲,"[':police_car_light:', ':mobile_phone_with_arrow:']",Direct,SPEED,3
immediate reply,🏃‍♂️📞💭,"[':man_running:', ':telephone_receiver:', ':thought_balloon:']",Metaphorical,SPEED,4
immediate reply,⏩📨,"[':fast-forward_button:', ':incoming_envelope:']",Direct,SPEED,4
immediate reply,⏱️📲,"[':stopwatch:', ':mobile_phone_with_arrow:']",Direct,SPEED,4
immediate influence,💨💨🧍‍♂️🔀🧍‍♀️,"[':dashing_away:', ':dashing_away:', ':man_standing:', ':shuffle_tracks_button:', ':woman_standing:']",Metaphorical,IMMEDIACY,4
immediate influence,💃🕺🙋🙋‍♀️🙋‍♂️,"[':woman_dancing:', ':man_dancing:', ':person_raising_hand:', ':woman_raising_hand:', ':man_raising_hand:']",Metaphorical,IMMEDIACY,2
immediate influence,⏩👩‍⚖️👨‍⚖️,"[':fast-forward_button:', ':woman_judge:', ':man_judge:']",Metaphorical,IMMEDIACY,3
immediate influence,🔜👨‍👩‍👧‍👦,"[':SOON_arrow:', ':family_man_woman_girl_boy:']",Metaphorical,IMMEDIACY,4
immediate influence,🙇🏻‍♀️🙇🏻‍♀️,"[':woman_bowing_light_skin_tone:', ':woman_bowing_light_skin_tone:']",Reduplication,IMMEDIACY,1
immediate influence,👮‍♂️👇🙏🤝,"[':man_police_officer:', ':backhand_index_pointing_down:', ':folded_hands:', ':handshake:']",Metaphorical,IMMEDIACY,4
immediate influence,🔝🔝,"[':TOP_arrow:', ':TOP_arrow:']",Reduplication,IMMEDIACY,1
immediate influence,🧑‍🤝‍🧑↔️❗,"[':people_holding_hands:', ':left-right_arrow:', ':red_exclamation_mark:']",Metaphorical,IMMEDIACY,4
thin oil,🛢️,[':oil_drum:'],Single,CONSISTENCY,1
thin oil,♨️🪔,"[':hot_springs:', ':diya_lamp:']",Direct,CONSISTENCY,3
thin oil,🤏🪔,"[':pinching_hand:', ':diya_lamp:']",Direct,CONSISTENCY,2
thin oil,💧 🪔,"[':droplet:', ':diya_lamp:']",Metaphorical,CONSISTENCY,3
thin oil,🤏🛢️,"[':pinching_hand:', ':oil_drum:']",Direct,CONSISTENCY,2
thin oil,🤏🥃,"[':pinching_hand:', ':tumbler_glass:']",Direct,CONSISTENCY,2
thin oil,🤏📏🛢️,"[':pinching_hand:', ':straight_ruler:', ':oil_drum:']",Direct,CONSISTENCY,3
thin oil,🤏 👨‍🍳🛢,"[':pinching_hand:', ':man_cook:', ':oil_drum:']",Direct,CONSISTENCY,3
thin soup,🍲👎,"[':pot_of_food:', ':thumbs_down:']",Metaphorical,CONSISTENCY,3
thin soup,♨️,[':hot_springs:'],Single,CONSISTENCY,1
thin soup,💧🥫,"[':droplet:', ':canned_food:']",Metaphorical,CONSISTENCY,3
thin soup,💦💦🥣,"[':sweat_droplets:', ':sweat_droplets:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,2
thin soup,🍜,[':steaming_bowl:'],Single,CONSISTENCY,1
thin soup,🤏🫕,"[':pinching_hand:', ':fondue:']",Direct,CONSISTENCY,2
thin soup,🤏📏🥣,"[':pinching_hand:', ':straight_ruler:', ':bowl_with_spoon:']",Direct,CONSISTENCY,3
thin soup,🤏 🥣,"[':pinching_hand:', ':bowl_with_spoon:']",Direct,CONSISTENCY,2
thin air,🌫️,[':fog:'],Single,CONSISTENCY,1
thin air,♨️,[':hot_springs:'],Single,CONSISTENCY,1
thin air,🤏🍃,"[':pinching_hand:', ':leaf_fluttering_in_wind:']",Direct,CONSISTENCY,2
thin air,🍃,[':leaf_fluttering_in_wind:'],Single,CONSISTENCY,1
thin air,😵‍💫💨,"[':face_with_spiral_eyes:', ':dashing_away:']",Metaphorical,CONSISTENCY,3
thin air,🍃🤏,"[':leaf_fluttering_in_wind:', ':pinching_hand:']",Direct,CONSISTENCY,2
thin air,🤏📏💨,"[':pinching_hand:', ':straight_ruler:', ':dashing_away:']",Direct,CONSISTENCY,3
thin air,🤌🏻🌬,"[':pinched_fingers_light_skin_tone:', ':wind_face:']",Direct,CONSISTENCY,2
thin line,🤏✍️,"[':pinching_hand:', ':writing_hand:']",Direct,WIDTH,3
thin line,♨️✏️📝,"[':hot_springs:', ':pencil:', ':memo:']",Direct,WIDTH,3
thin line,🤏📏,"[':pinching_hand:', ':straight_ruler:']",Direct,WIDTH,2
thin line,📝,[':memo:'],Single,WIDTH,1
thin line,📏🤏📉,"[':straight_ruler:', ':pinching_hand:', ':chart_decreasing:']",Direct,WIDTH,4
thin line,🤏🖊️,"[':pinching_hand:', ':pen:']",Direct,WIDTH,2
thin line,🤏📏➖,"[':pinching_hand:', ':straight_ruler:', ':minus:']",Direct,WIDTH,3
thin line,🤌🏻〰,"[':pinched_fingers_light_skin_tone:', ':wavy_dash:']",Direct,WIDTH,2
thick soup,🍲🍲👍,"[':pot_of_food:', ':pot_of_food:', ':thumbs_up:']",Metaphorical,CONSISTENCY,2
thick soup,🍲🍲🍲,"[':pot_of_food:', ':pot_of_food:', ':pot_of_food:']",Reduplication,CONSISTENCY,1
thick soup,🥫🍦,"[':canned_food:', ':soft_ice_cream:']",Metaphorical,CONSISTENCY,3
thick soup,💦🥣,"[':sweat_droplets:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,3
thick soup,🙌🍲,"[':raising_hands:', ':pot_of_food:']",Metaphorical,CONSISTENCY,3
thick soup,🫕🫕🫕,"[':fondue:', ':fondue:', ':fondue:']",Reduplication,CONSISTENCY,1
thick soup,📏🥣,"[':straight_ruler:', ':bowl_with_spoon:']",Metaphorical,CONSISTENCY,3
thick soup,🥣,[':bowl_with_spoon:'],Single,CONSISTENCY,1
thick smoke,🌋💨,"[':volcano:', ':dashing_away:']",Metaphorical,THICKNESS,3
thick smoke,💨💨💨😤🌋🚬😤,"[':dashing_away:', ':dashing_away:', ':dashing_away:', ':face_with_steam_from_nose:', ':volcano:', ':cigarette:', ':face_with_steam_from_nose:']",Metaphorical,THICKNESS,2
thick smoke,💨👁️❌,"[':dashing_away:', ':eye:', ':cross_mark:']",Metaphorical,THICKNESS,4
thick smoke,💨🚬,"[':dashing_away:', ':cigarette:']",Metaphorical,THICKNESS,3
thick smoke,🌋🌋🌋😷,"[':volcano:', ':volcano:', ':volcano:', ':face_with_medical_mask:']",Metaphorical,THICKNESS,2
thick smoke,💨💨🌫️🌫️,"[':dashing_away:', ':dashing_away:', ':fog:', ':fog:']",Semantic list,THICKNESS,1
thick smoke,🔥💨💨💨💨,"[':fire:', ':dashing_away:', ':dashing_away:', ':dashing_away:', ':dashing_away:']",Metaphorical,THICKNESS,2
thick smoke,💨,[':dashing_away:'],Single,THICKNESS,1
thick cream,🍦🍦🍦,"[':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']",Reduplication,THICKNESS,1
thick cream,🍨🍦,"[':ice_cream:', ':soft_ice_cream:']",Semantic list,THICKNESS,1
thick cream,🍦🥫🍦🍦🍦🍦,"[':soft_ice_cream:', ':canned_food:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:', ':soft_ice_cream:']",Semantic list,THICKNESS,2
thick cream,🧁,[':cupcake:'],Single,THICKNESS,1
thick cream,🧴💪,"[':lotion_bottle:', ':flexed_biceps:']",Metaphorical,THICKNESS,3
thick cream,🍶🍶,"[':sake:', ':sake:']",Reduplication,THICKNESS,1
thick cream,📏🍦🍦,"[':straight_ruler:', ':soft_ice_cream:', ':soft_ice_cream:']",Metaphorical,THICKNESS,3
thick cream,🍦,[':soft_ice_cream:'],Single,THICKNESS,1
thick fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS,1
thick fog,✈️🙈,"[':airplane:', ':see-no-evil_monkey:']",Metaphorical,THICKNESS,4
thick fog,💨👁️🌫️,"[':dashing_away:', ':eye:', ':fog:']",Metaphorical,THICKNESS,4
thick fog,🌫️🌫️🌁,"[':fog:', ':fog:', ':foggy:']",Semantic list,THICKNESS,1
thick fog,🌫️🌫️🌫️,"[':fog:', ':fog:', ':fog:']",Reduplication,THICKNESS,1
thick fog,🌫️🌫️,"[':fog:', ':fog:']",Reduplication,THICKNESS,1
thick fog,📏🌫️🌫️🌫️🌁🌁,"[':straight_ruler:', ':fog:', ':fog:', ':fog:', ':foggy:', ':foggy:']",Semantic list,THICKNESS,2
thick fog,🌫😶‍🌫️,"[':fog:', ':face_in_clouds:']",Semantic list,THICKNESS,2
wrong paper,❌📄,"[':cross_mark:', ':page_facing_up:']",Direct,CORRECTNESS,3
wrong paper,❌📜,"[':cross_mark:', ':scroll:']",Direct,CORRECTNESS,3
wrong paper,🙅‍♀️📃,"[':woman_gesturing_NO:', ':page_with_curl:']",Direct,CORRECTNESS,3
wrong paper,❌📄,"[':cross_mark:', ':page_facing_up:']",Direct,CORRECTNESS,3
wrong paper,🙅‍♂️📄,"[':man_gesturing_NO:', ':page_facing_up:']",Direct,CORRECTNESS,3
wrong paper,❌️📃,"[':cross_mark:', '', ':page_with_curl:']",Direct,CORRECTNESS,3
wrong paper,❌📜,"[':cross_mark:', ':scroll:']",Direct,CORRECTNESS,3
wrong paper,❌📃,"[':cross_mark:', ':page_with_curl:']",Direct,CORRECTNESS,3
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,🙅‍♀️🛣,"[':woman_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,🙅‍♂️🛣️,"[':man_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,❌️🛣,"[':cross_mark:', '', ':motorway:']",Direct,CORRECTNESS,3
wrong road,❌🛣️,"[':cross_mark:', ':motorway:']",Direct,CORRECTNESS,3
wrong road,🙅🛣️,"[':person_gesturing_NO:', ':motorway:']",Direct,CORRECTNESS,3
wrong cheating,❌👩‍💻,"[':cross_mark:', ':woman_technologist:']",Direct,RIGHTNESS,3
wrong cheating,❌📑,"[':cross_mark:', ':bookmark_tabs:']",Direct,RIGHTNESS,3
wrong cheating,🙅‍♀️💔,"[':woman_gesturing_NO:', ':broken_heart:']",Metaphorical,RIGHTNESS,4
wrong cheating,🙅👩‍❤️‍💋‍👨💔,"[':person_gesturing_NO:', ':kiss_woman_man:', ':broken_heart:']",Metaphorical,RIGHTNESS,5
wrong cheating,🙅‍♂️😈🤫✍️📄📚💯,"[':man_gesturing_NO:', ':smiling_face_with_horns:', ':shushing_face:', ':writing_hand:', ':page_facing_up:', ':books:', ':hundred_points:']",Metaphorical,RIGHTNESS,4
wrong cheating,👎📝,"[':thumbs_down:', ':memo:']",Direct,RIGHTNESS,3
wrong cheating,❌📝📋,"[':cross_mark:', ':memo:', ':clipboard:']",Direct,RIGHTNESS,3
wrong cheating,😏👎,"[':smirking_face:', ':thumbs_down:']",Metaphorical,RIGHTNESS,3
wrong way,❌↗️↖️❎,"[':cross_mark:', ':up-right_arrow:', ':up-left_arrow:', ':cross_mark_button:']",Metaphorical,PROPRIETY,4
wrong way,❌↩️,"[':cross_mark:', ':right_arrow_curving_left:']",Direct,PROPRIETY,4
wrong way,🙅‍♀️🚸,"[':woman_gesturing_NO:', ':children_crossing:']",Direct,PROPRIETY,3
wrong way,❌↗️🗺️,"[':cross_mark:', ':up-right_arrow:', ':world_map:']",Metaphorical,PROPRIETY,4
wrong way,🙅‍♂️🗺️🧭,"[':man_gesturing_NO:', ':world_map:', ':compass:']",Metaphorical,PROPRIETY,3
wrong way,❌️🧭,"[':cross_mark:', '', ':compass:']",Metaphorical,PROPRIETY,3
wrong way,❌🗺️🙅‍♀️,"[':cross_mark:', ':world_map:', ':woman_gesturing_NO:']",Direct,PROPRIETY,3
wrong way,🤦🧭,"[':person_facepalming:', ':compass:']",Direct,PROPRIETY,3
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,3
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,3
wrong medicine,🙅‍♀️💊,"[':woman_gesturing_NO:', ':pill:']",Direct,PROPRIETY,3
wrong medicine,❌💊🤒,"[':cross_mark:', ':pill:', ':face_with_thermometer:']",Direct,PROPRIETY,4
wrong medicine,🙅‍♂️💊,"[':man_gesturing_NO:', ':pill:']",Direct,PROPRIETY,3
wrong medicine,❌️💊,"[':cross_mark:', '', ':pill:']",Direct,PROPRIETY,3
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,3
wrong medicine,❌💊,"[':cross_mark:', ':pill:']",Direct,PROPRIETY,3
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,3
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,3
wrong information,🙅‍♀️ℹ,"[':woman_gesturing_NO:', ':information:']",Direct,CORRECTNESS,3
wrong information,❌💭❓,"[':cross_mark:', ':thought_balloon:', ':red_question_mark:']",Metaphorical,CORRECTNESS,4
wrong information,🙅‍♂️📑🗂️,"[':man_gesturing_NO:', ':bookmark_tabs:', ':card_index_dividers:']",Direct,CORRECTNESS,3
wrong information,❌️🧠,"[':cross_mark:', '', ':brain:']",Metaphorical,CORRECTNESS,3
wrong information,❌📰,"[':cross_mark:', ':newspaper:']",Direct,CORRECTNESS,3
wrong information,❌ℹ️,"[':cross_mark:', ':information:']",Direct,CORRECTNESS,3
wrong assumption,❌🤔,"[':cross_mark:', ':thinking_face:']",Direct,CORRECTNESS,3
wrong assumption,❌💭,"[':cross_mark:', ':thought_balloon:']",Direct,CORRECTNESS,3
wrong assumption,🙅‍♀️🤔,"[':woman_gesturing_NO:', ':thinking_face:']",Direct,CORRECTNESS,3
wrong assumption,👄❌👄💬,"[':mouth:', ':cross_mark:', ':mouth:', ':speech_balloon:']",Direct,CORRECTNESS,5
wrong assumption,🙅‍♂️🤔,"[':man_gesturing_NO:', ':thinking_face:']",Direct,CORRECTNESS,3
wrong assumption,❌️👀🧠,"[':cross_mark:', '', ':eyes:', ':brain:']",Direct,CORRECTNESS,4
wrong assumption,❌🤔,"[':cross_mark:', ':thinking_face:']",Direct,CORRECTNESS,3
wrong assumption,🤔🤦,"[':thinking_face:', ':person_facepalming:']",Metaphorical,CORRECTNESS,3
wrong time,❌⏰,"[':cross_mark:', ':alarm_clock:']",Direct,CORRECTNESS,3
wrong time,❌🕡,"[':cross_mark:', ':six-thirty:']",Direct,CORRECTNESS,3
wrong time,🙅‍♀️🕰,"[':woman_gesturing_NO:', ':mantelpiece_clock:']",Direct,CORRECTNESS,3
wrong time,❌⏱️⏰,"[':cross_mark:', ':stopwatch:', ':alarm_clock:']",Direct,CORRECTNESS,3
wrong time,🙅‍♂️⏱️,"[':man_gesturing_NO:', ':stopwatch:']",Direct,CORRECTNESS,3
wrong time,❌️⏰️,"[':cross_mark:', '', ':alarm_clock:', '']",Direct,CORRECTNESS,3
wrong time,❌⏱️,"[':cross_mark:', ':stopwatch:']",Direct,CORRECTNESS,3
wrong time,🤦⌚,"[':person_facepalming:', ':watch:']",Metaphorical,CORRECTNESS,3
warm support,♨️🧑‍🤝‍🧑🧑‍🤝‍🧑🧑‍🤝‍🧑,"[':hot_springs:', ':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",Metaphorical,EMOTIONALITY,2
warm support,🌡🫂,"[':thermometer:', ':people_hugging:']",Direct,EMOTIONALITY,3
warm support,🤝🥵,"[':handshake:', ':hot_face:']",Direct,EMOTIONALITY,3
warm support,👪🥰,"[':family:', ':smiling_face_with_hearts:']",Metaphorical,EMOTIONALITY,3
warm support,🫂🤗,"[':people_hugging:', ':smiling_face_with_open_hands:']",Direct,EMOTIONALITY,2
warm support,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY,1
warm support,🔥💪🏻,"[':fire:', ':flexed_biceps_light_skin_tone:']",Direct,EMOTIONALITY,3
warm support,🌡️💪,"[':thermometer:', ':flexed_biceps:']",Direct,EMOTIONALITY,3
warm greeting,♨️🤗🤝,"[':hot_springs:', ':smiling_face_with_open_hands:', ':handshake:']",Direct,EMOTIONALITY,2
warm greeting,♨️👋,"[':hot_springs:', ':waving_hand:']",Direct,EMOTIONALITY,2
warm greeting,🥵👋,"[':hot_face:', ':waving_hand:']",Direct,EMOTIONALITY,2
warm greeting,👋🥰,"[':waving_hand:', ':smiling_face_with_hearts:']",Metaphorical,EMOTIONALITY,3
warm greeting,😊👋,"[':smiling_face_with_smiling_eyes:', ':waving_hand:']",Metaphorical,EMOTIONALITY,3
warm greeting,👋👋👋,"[':waving_hand:', ':waving_hand:', ':waving_hand:']",Reduplication,EMOTIONALITY,1
warm greeting,❤️👋,"[':red_heart:', ':waving_hand:']",Metaphorical,EMOTIONALITY,3
warm greeting,🌡️🤝,"[':thermometer:', ':handshake:']",Direct,EMOTIONALITY,3
warm debate,♨️⚖️,"[':hot_springs:', ':balance_scale:']",Direct,LIVELINESS,3
warm debate,🔥🗣,"[':fire:', ':speaking_head:']",Direct,LIVELINESS,3
warm debate,🕵‍♂️🕵‍♀️,"[':man_detective:', ':woman_detective:']",Reduplication,LIVELINESS,1
warm debate,🧠🗣️💥,"[':brain:', ':speaking_head:', ':collision:']",Direct,LIVELINESS,4
